Key,Frequently,Ranking
9-0,333535,1
22-0,288622,2
5-0,251377,3
8-1,222034,4
1-3,187763,5
26-2,174888,6
20-2,174888,7
25-1,174888,8
19-1,174888,9
17-0,171623,10
23-1,150573,11
6-0,146616,12
14-1,131252,13
14-2,121163,14
19-0,110691,15
10-2,81057,16
23-0,79111,17
6-5,76304,18
20-3,75273,19
6-1,64619,20
20-0,63818,21
1-0,62474,22
8-5,62374,23
20-1,60084,24
5-3,58493,25
14-0,56613,26
6-4,51305,27
22-1,51256,28
17-1,47817,29
2-11,47015,30
23-9,46653,31
25-4,44715,32
17-5,42774,33
9-1,40452,34
25-0,38447,35
25-13,33587,36
23-8,32488,37
2-84,31414,38
1-7,31260,39
17-6,30753,40
8-0,28087,41
18-124,28024,42
22-3,26549,43
25-2,24789,44
24-21,24231,45
5-1,23318,46
23-6,20960,47
23-2,20581,48
24-4,20108,49
17-4,19664,50
24-2,19096,51
1-2,18561,52
26-9,17515,53
17-7,16971,54
4-2,16799,55
14-5,16760,56
17-3,16389,57
17-2,15760,58
8-4,15519,59
4-10,14369,60
12-11,14369,61
21-11,14369,62
3-11,14369,63
24-9,14369,64
16-11,14369,65
2-36,13619,66
6-3,13571,67
2-12,13243,68
24-19,12596,69
2-14,12417,70
21-8,12404,71
16-8,12404,72
3-8,12404,73
12-8,12404,74
17-8,12306,75
18-101,12285,76
2-67,12285,77
1-6,12187,78
5-5,12105,79
11-164,12015,80
13-154,12015,81
2-17,11726,82
14-7,11620,83
2-29,11583,84
25-3,11358,85
16-120,11086,86
12-123,11086,87
4-111,11086,88
21-123,11086,89
6-6,10828,90
18-12,10746,91
6-2,10640,92
24-14,10316,93
23-7,10049,94
13-3,10044,95
4-16,9980,96
8-19,9792,97
15-315,9469,98
14-9,9256,99
18-19,9106,100
11-3,9030,101
1-13,8802,102
7-176,8172,103
2-37,8023,104
18-49,8023,105
15-124,7765,106
25-12,7588,107
24-3,7582,108
18-84,7548,109
25-6,7473,110
5-6,7229,111
19-14,6967,112
14-11,6915,113
13-7,6835,114
24-46,6805,115
23-4,6730,116
13-164,6715,117
11-175,6715,118
1-14,6657,119
8-14,6623,120
2-0,6550,121
2-3,6497,122
2-18,6367,123
11-138,6313,124
24-120,6127,125
2-93,5980,126
18-56,5926,127
25-11,5790,128
10-3,5779,129
26-30,5663,130
4-56,5663,131
15-158,5581,132
18-15,5527,133
4-36,5361,134
1-16,5196,135
4-4,5049,136
26-48,5004,137
14-6,4970,138
14-10,4888,139
5-4,4879,140
13-280,4845,141
2-7,4800,142
13-498,4771,143
8-6,4724,144
13-238,4687,145
25-8,4675,146
7-29,4518,147
3-2,4395,148
16-2,4395,149
21-2,4395,150
12-2,4395,151
26-43,4306,152
13-52,4259,153
13-12,4249,154
13-34,4204,155
16-33,4196,156
12-34,4196,157
3-34,4196,158
21-34,4196,159
2-66,4127,160
2-61,4101,161
18-91,4101,162
1-27,4094,163
26-53,4094,164
2-1,4088,165
24-89,4042,166
15-333,3924,167
24-68,3893,168
2-101,3883,169
24-66,3829,170
16-88,3784,171
12-90,3784,172
3-90,3784,173
4-83,3784,174
21-90,3784,175
15-52,3703,176
16-17,3687,177
11-257,3683,178
18-30,3678,179
2-26,3678,180
13-25,3676,181
2-9,3656,182
15-157,3653,183
15-70,3652,184
18-60,3652,185
12-17,3650,186
3-17,3650,187
21-17,3650,188
15-231,3614,189
11-17,3596,190
13-17,3596,191
7-285,3584,192
8-3,3582,193
4-11,3567,194
2-38,3537,195
13-145,3493,196
26-6,3492,197
15-20,3469,198
21-12,3426,199
16-12,3426,200
2-28,3384,201
11-25,3340,202
13-11,3334,203
11-11,3334,204
10-42,3331,205
22-5,3283,206
1-15,3274,207
5-8,3262,208
2-119,3238,209
10-661,3195,210
19-26,3194,211
24-69,3178,212
4-87,3177,213
21-95,3177,214
12-95,3177,215
3-95,3177,216
16-92,3177,217
4-61,3170,218
24-51,3170,219
13-30,3160,220
11-31,3151,221
16-65,3149,222
21-66,3149,223
3-66,3149,224
12-66,3149,225
13-54,3135,226
11-473,3128,227
18-80,3117,228
2-4,3095,229
24-187,3078,230
15-55,3024,231
18-32,3017,232
2-51,2945,233
18-0,2930,234
11-153,2918,235
1-11,2884,236
19-39,2839,237
2-274,2836,238
18-603,2836,239
19-42,2804,240
11-12,2780,241
24-464,2779,242
11-664,2772,243
18-53,2764,244
23-3,2755,245
15-50,2736,246
18-23,2734,247
2-20,2734,248
24-43,2702,249
12-39,2701,250
3-39,2701,251
21-39,2701,252
16-38,2701,253
2-34,2684,254
22-2,2669,255
8-9,2647,256
15-84,2646,257
2-48,2628,258
18-380,2616,259
25-16,2614,260
15-151,2598,261
7-525,2540,262
15-12,2529,263
10-94,2523,264
18-118,2518,265
15-102,2511,266
18-46,2509,267
13-195,2471,268
11-209,2471,269
15-1090,2461,270
24-95,2459,271
25-9,2430,272
7-7,2412,273
7-18,2404,274
18-38,2401,275
7-272,2401,276
18-34,2361,277
26-14,2359,278
1-20,2352,279
16-4,2332,280
21-4,2332,281
18-11,2324,282
15-644,2303,283
15-105,2282,284
7-73,2273,285
10-21,2268,286
25-18,2266,287
8-7,2265,288
14-4,2253,289
23-5,2253,290
2-134,2240,291
7-117,2235,292
11-112,2234,293
11-49,2228,294
13-48,2228,295
18-39,2223,296
18-21,2212,297
25-20,2210,298
2-100,2205,299
15-64,2184,300
5-14,2177,301
2-2,2174,302
18-3,2174,303
15-3,2174,304
7-434,2174,305
25-5,2173,306
7-897,2171,307
2-110,2161,308
11-70,2159,309
7-12,2136,310
15-284,2135,311
18-210,2135,312
10-27,2127,313
2-32,2125,314
24-35,2123,315
15-40,2109,316
18-33,2090,317
2-130,2084,318
2-98,2083,319
4-85,2083,320
15-22,2072,321
18-1,2069,322
2-205,2057,323
18-59,2053,324
2-117,2052,325
10-678,2045,326
2-112,2041,327
16-40,2036,328
4-272,2034,329
18-173,2031,330
4-239,2031,331
16-293,2029,332
4-40,2026,333
18-50,2022,334
11-35,2020,335
2-97,2017,336
1-5,2005,337
7-335,2003,338
21-41,1998,339
3-41,1998,340
12-41,1998,341
14-12,1975,342
4-153,1970,343
13-98,1966,344
7-105,1966,345
16-174,1964,346
2-111,1964,347
18-172,1964,348
13-63,1962,349
11-151,1958,350
18-103,1954,351
2-69,1954,352
25-17,1939,353
15-581,1938,354
18-399,1938,355
7-36,1931,356
2-35,1929,357
10-202,1926,358
24-177,1917,359
11-53,1907,360
18-47,1897,361
11-251,1889,362
13-233,1889,363
18-88,1882,364
18-100,1874,365
11-100,1870,366
4-115,1860,367
24-91,1853,368
12-127,1842,369
3-127,1842,370
16-124,1842,371
21-127,1842,372
2-22,1839,373
24-245,1834,374
4-274,1828,375
15-506,1827,376
16-295,1824,377
15-326,1820,378
18-213,1820,379
10-14,1802,380
10-75,1802,381
13-149,1800,382
14-13,1800,383
11-157,1800,384
26-55,1792,385
1-22,1777,386
10-34,1775,387
7-599,1768,388
8-16,1768,389
18-183,1760,390
13-219,1750,391
11-236,1750,392
26-145,1744,393
18-197,1743,394
2-125,1743,395
18-131,1729,396
15-168,1729,397
19-6,1724,398
5-12,1717,399
13-177,1710,400
7-253,1700,401
13-214,1700,402
18-446,1689,403
4-109,1682,404
13-75,1672,405
11-77,1672,406
11-191,1666,407
18-115,1654,408
2-56,1653,409
7-874,1652,410
12-93,1640,411
16-90,1640,412
3-93,1640,413
21-93,1640,414
15-267,1638,415
11-64,1632,416
10-343,1631,417
2-24,1631,418
15-73,1626,419
19-73,1625,420
24-150,1621,421
26-227,1619,422
3-121,1613,423
21-121,1613,424
16-118,1613,425
12-121,1613,426
24-154,1612,427
12-310,1609,428
21-302,1609,429
3-319,1609,430
19-16,1607,431
26-106,1605,432
18-143,1597,433
16-260,1585,434
21-177,1574,435
12-180,1574,436
3-182,1574,437
10-193,1572,438
15-61,1564,439
15-944,1561,440
18-162,1561,441
15-634,1560,442
26-28,1560,443
15-15,1545,444
1-25,1542,445
24-20,1532,446
15-119,1524,447
11-474,1521,448
13-437,1521,449
11-94,1517,450
13-92,1517,451
18-95,1515,452
18-99,1511,453
2-107,1502,454
12-219,1501,455
16-213,1501,456
3-223,1501,457
4-192,1501,458
21-216,1501,459
19-22,1500,460
18-281,1498,461
8-22,1497,462
13-70,1486,463
4-63,1482,464
11-190,1480,465
13-176,1480,466
16-67,1477,467
7-26,1476,468
3-318,1465,469
12-309,1465,470
21-301,1465,471
18-78,1463,472
10-105,1440,473
15-144,1439,474
4-43,1436,475
16-694,1432,476
